Employment,PreviousSalary,YearsCode,ComputerSkills,Employed,Lang_AWS,Lang_Bash/Shell,Lang_C#,Lang_Docker,Lang_Git,Lang_HTML/CSS,Lang_Java,Lang_JavaScript,Lang_Microsoft SQL Server,Lang_MySQL,Lang_Node.js,Lang_Other,Lang_PostgreSQL,Lang_Python,Lang_React.js,Lang_SQL,Lang_TypeScript,Age (>35),edlevel_encoded
1,7788.0,4,5,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2
1,134176.0,38,14,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,3
1,64630.0,10,8,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,2
1,38915.0,10,13,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,2
1,4944.0,8,11,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,2
0,29508.0,6,33,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
1,14268.0,13,17,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,3
1,43239.0,10,17,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,2
1,140000.0,12,14,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,2
1,14124.0,6,26,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0
1,101916.0,6,7,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
0,21000.0,17,7,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3
1,54000.0,7,10,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,2
0,200000.0,27,19,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,3
1,36324.0,17,23,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,2
1,38778.0,1,20,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,2
0,48600.0,5,28,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0
0,59454.0,30,10,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,3
1,14652.0,4,8,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,2
1,200000.0,38,5,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,2
1,97288.0,27,22,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,3
1,75492.0,15,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,36000.0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3
1,49725.0,7,12,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,3
1,70047.0,31,11,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,2
1,98500.0,15,23,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,2
0,2340.0,20,19,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,2
1,115000.0,41,11,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,2
1,43908.0,9,13,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,3
1,103408.0,8,15,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,2
1,42000.0,13,18,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,3
1,105072.0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
1,71093.0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4
1,17412.0,8,6,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,2
0,14844.0,4,9,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0
1,98321.0,3,5,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,3
1,54049.0,16,17,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0
0,115784.0,26,15,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,3
1,56616.0,10,11,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,2
1,69183.0,14,7,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2
1,25944.0,24,12,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,2
1,60752.0,35,4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1,16704.0,6,22,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,2
1,81420.0,23,18,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,2
1,14280.0,7,5,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,2
1,84019.0,20,15,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,3
1,63648.0,20,20,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,2
1,4620.0,5,17,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,2
1,70000.0,10,15,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,3
1,91883.0,12,20,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0
1,30192.0,3,7,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,3
1,90000.0,10,12,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,2
1,21600.0,20,20,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,2
1,50592.0,15,9,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
1,1512.0,10,32,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,2
1,193000.0,9,5,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3
1,28536.0,9,14,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,2
1,96874.0,4,14,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,3
1,77556.0,24,15,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,2
0,103408.0,21,19,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,2
1,121979.0,28,7,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2
1,75492.0,15,14,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,4
0,84316.0,10,29,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2
1,43404.0,31,16,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,2
1,22584.0,6,14,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,2
1,103408.0,14,4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2
1,44320.0,15,20,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,3
1,165000.0,30,29,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2
1,5268.0,13,13,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,2
1,51888.0,10,14,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0
1,85500.0,12,16,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,2
0,48000.0,7,12,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2
1,64859.0,12,6,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3
1,42158.0,6,11,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,2
1,32424.0,18,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,60000.0,2,12,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,2
0,51888.0,5,7,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,3
1,35028.0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4
1,9084.0,9,10,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0
1,74588.0,13,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,4
1,33732.0,6,11,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,2
1,27852.0,13,12,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,3
1,50153.0,12,11,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2
1,30716.0,15,13,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,3
1,77831.0,10,25,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,3
1,81624.0,7,13,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,2
1,54049.0,6,5,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3
1,10450.0,10,18,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,2
1,41077.0,7,15,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,3
1,45396.0,10,8,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,2
1,19389.0,4,10,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0
1,77831.0,24,8,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,3
1,160000.0,18,6,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,2
1,200409.0,12,9,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,2
0,185000.0,37,17,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,2
1,107972.0,20,7,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1,66897.0,9,21,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,2
1,75000.0,5,17,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0
1,48472.0,8,12,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0
1,120000.0,24,13,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,2
1,8796.0,12,10,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0
1,12972.0,10,32,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,3
0,4272.0,5,17,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1,28105.0,9,10,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,2
1,77832.0,30,10,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0
1,51704.0,10,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4
1,18000.0,23,9,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,2
0,43239.0,20,17,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0
1,9231.0,6,6,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,2
1,70264.0,25,10,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,2
1,5388.0,5,18,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,2
1,115000.0,22,10,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,3
1,144000.0,21,22,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,2
1,65508.0,14,6,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3
1,70264.0,31,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
1,181515.0,44,7,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,2
1,81000.0,40,13,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,2
1,105000.0,22,6,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1,56211.0,20,13,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,3
1,64630.0,10,7,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,3
1,110000.0,14,6,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3
0,64860.0,14,10,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,2
1,120000.0,25,21,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,2
1,6360.0,7,10,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,2
1,48644.0,11,20,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1
1,54672.0,17,14,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,3
1,35676.0,6,15,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,2
1,75631.0,18,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1,70000.0,41,6,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0
1,58373.0,14,9,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,3
1,25944.0,4,15,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,2
1,5585.0,4,13,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,2
1,58000.0,15,8,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0
1,61616.0,18,15,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,2
1,59454.0,20,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4
1,55224.0,15,7,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4
1,68068.0,11,10,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,3
1,217800.0,12,17,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,2
1,118908.0,30,9,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,4
1,40000.0,18,6,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1,71850.0,15,12,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,2
1,66934.0,21,4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2
1,54216.0,8,8,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3
0,64860.0,12,15,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,2
1,19860.0,6,10,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2
1,54888.0,6,10,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0
1,58373.0,8,17,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1
1,56616.0,27,16,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,3
1,45401.0,13,17,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,4
0,48104.0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3
0,84312.0,24,8,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,2
1,55582.0,25,7,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,3
1,71093.0,42,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2
0,72000.0,7,30,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0
1,60752.0,30,14,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0
1,25944.0,9,16,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0
1,179858.0,26,16,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,2
1,30372.0,26,6,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
1,29832.0,15,14,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,3
1,40020.0,10,16,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,2
1,90000.0,20,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,4
1,67000.0,12,28,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,2
1,21676.0,12,8,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2
1,101649.0,25,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3
1,17352.0,6,22,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0
1,195000.0,25,11,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0
1,34380.0,8,10,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,3
1,155111.0,35,9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,4
1,64860.0,16,12,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,3
1,123228.0,14,7,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,2
0,90000.0,6,14,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,2
1,28308.0,15,10,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1
1,48644.0,3,9,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,3
1,54769.0,12,7,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,2
1,45564.0,7,16,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,2
1,25428.0,9,20,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,2
1,29000.0,20,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
1,170000.0,10,24,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,2
1,19728.0,7,22,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,2
1,24132.0,9,8,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,2
1,54804.0,10,20,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0
1,70000.0,9,13,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,2
1,42432.0,13,13,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,2
0,97288.0,15,13,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,3
1,40000.0,8,9,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1
1,40212.0,6,30,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,2
1,15408.0,8,20,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,2
1,54224.0,7,8,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,3
1,81319.0,11,13,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,3
1,85000.0,22,5,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2
1,64859.0,6,17,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,2
1,62268.0,35,15,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,3
1,31750.0,12,18,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0
1,100000.0,6,17,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,3
1,92000.0,5,14,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,2
1,34591.0,10,15,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,2
1,92500.0,20,23,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0
1,135000.0,15,7,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,3
1,71093.0,9,24,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,2
1,42756.0,8,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1,150000.0,8,11,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,2
1,65000.0,21,13,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,2
0,25944.0,18,11,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1
1,64859.0,25,6,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,4
1,48644.0,20,6,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,2
1,35672.0,10,10,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,2
1,64860.0,12,8,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,3
1,59454.0,10,8,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2
1,45396.0,12,10,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,3
0,19452.0,28,17,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,2
1,22212.0,3,29,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,2
1,60000.0,18,29,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,2
1,110000.0,39,5,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4
1,53832.0,15,14,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,2
1,18080.0,7,18,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,3
1,31128.0,11,11,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,2
1,96204.0,16,26,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,2
1,5448.0,6,9,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,2
1,88640.0,15,17,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,3
1,20539.0,6,18,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0
1,190000.0,40,9,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,3
1,49765.0,30,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4
1,57765.0,14,7,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2
1,40000.0,6,6,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,2
1,37440.0,6,12,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1
0,11724.0,3,16,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,2
1,111814.0,20,11,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,2
